"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 22 09:48:15 ICT 2021","Thu Jul 22 09:48:15 ICT 2021","0","","","check","Prime.UnitTests.Services.PrimeService_IsPrimeShould","Prime.UnitTests.Services.PrimeService_IsPrimeShould.IsPrime_InputIs1_ReturnFalse","Prime.UnitTests.Services.PrimeService_IsPrimeShould.IsPrime_InputIs1_ReturnFalse",""
"passed","Thu Jul 22 09:48:15 ICT 2021","Thu Jul 22 09:48:15 ICT 2021","17","","","check","Prime.UnitTests.Services.PrimeService_IsPrimeShould","Prime.UnitTests.Services.PrimeService_IsPrimeShould.IsPrime_InputIs0_ReturnFalse","Prime.UnitTests.Services.PrimeService_IsPrimeShould.IsPrime_InputIs0_ReturnFalse",""
